compound_name,species,pubchem_cid,canonical_smiles,molecular_formula,source_reference,parse_ok,scaffold_class,is_glycoside,confidence
Baicalein,Desmodium gangeticum,5281605,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,C15H10O5,PMID:36515031 (review text ambiguous/garbled OCR on species attribution - LOW CONFIDENCE),True,flavone,False,LOW - species attribution ambiguous in source review (genus-level text)
Naringin,Desmodium gangeticum,442428,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,C27H32O14,PMID:36515031 (review text ambiguous/garbled OCR on species attribution - LOW CONFIDENCE),True,flavanone,True,LOW - species attribution ambiguous in source review (genus-level text)
Neohesperidin,Desmodium gangeticum,442439,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)CO)O)O)O)O)O,C28H34O15,PMID:36515031 (review text ambiguous/garbled OCR on species attribution - LOW CONFIDENCE),True,flavanone,True,LOW - species attribution ambiguous in source review (genus-level text)
Apigenin,Clerodendrum serratum,5280443,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,PMID:28458420 (direct HPLC quantification),True,flavone,False,"HIGH - direct isolation paper, species-specific"
Luteolin,Clerodendrum serratum,5280445,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,PMID:28458420 (direct HPLC quantification),True,flavone,False,"HIGH - direct isolation paper, species-specific"
Apigenin 7-glucoside,Clerodendrum serratum,5280704,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,C21H20O10,PMID:28070575 (Clerodendrum indicum + C. serratum combined NP library),True,flavone,True,"MEDIUM - reported for combined Clerodendrum indicum + C. serratum compiled library, not species-exclusive"
Hispidulin,Clerodendrum serratum,5281628,COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=C(C=C3)O)O,C16H12O6,PMID:28070575 (Clerodendrum indicum + C. serratum combined NP library),True,flavone,False,"MEDIUM - reported for combined Clerodendrum indicum + C. serratum compiled library, not species-exclusive"
Scutellarein,Clerodendrum serratum,5281697,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O)O,C15H10O6,PMID:28070575 (as scutellarein-7-O-glucuronate parent; combined NP library),True,flavone,False,"MEDIUM - reported for combined Clerodendrum indicum + C. serratum compiled library, not species-exclusive"
Paniculatin,Celastrus paniculatus,169419,C1=CC(=CC=C1C2=COC3=C(C(=C(C(=C3C2=O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O,C27H30O15,Reported in multiple phytochemistry reviews of C. paniculatus (single flavonoid reported for this species),True,isoflavone,True,LOW - PubChem CID matched by NAME STRING only; structure (isoflavone di-C-glucoside) not confirmed against an isolation paper for Celastrus paniculatus specifically
Luteolin,Bacopa monnieri,5280445,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,"PMID:25884228 (docking study), PMID:16462073 (isolation as luteolin-7-O-glucopyranoside parent)",True,flavone,False,"HIGH - direct isolation paper, species-specific"
Luteolin 7-O-glucoside,Bacopa monnieri,5280637,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,C21H20O11,PMID:16462073 (direct isolation),True,flavone,True,"HIGH - direct isolation paper, species-specific"
