pmid,doi,first_author,journal,year,title,relevance,verified_in_project_brief
34713936,10.1002/glia.24110,Chun H,Glia,2021,Inhibition of monoamine oxidase B prevents reactive astrogliosis and scar formation in stab wound injury model.,MAO-B upregulation in reactive astrogliosis in neurodegenerative disease,False
34752923,10.1016/j.nbd.2021.105548,Tian Y,Neurobiol Dis,2021,Tau-tubulin kinase 1 phosphorylates TDP-43 at disease-relevant sites and exacerbates TDP-43 pathology.,TTBK1/TDP-43 axis reviewed in context of ALS neurodegeneration,False
34957948,10.3233/JPD-212976,Tan YY,J Parkinsons Dis,2022,"Monoamine Oxidase-B Inhibitors for the Treatment of Parkinson's Disease: Past, Present, and Future.",MAO-B established pharmacological target in Parkinson's disease treatment,False
35065231,10.1016/j.bmcl.2022.128574,Mi J,Bioorg Med Chem Lett,2022,Development of naringenin-O-carbamate derivatives as multi-target-directed liagnds for the treatment of Alzheimer's disease.,Review of multitarget approaches combining kinase and oxidase inhibition in neurodegeneration,False
36964457,10.1007/s00702-023-02623-8,Regensburger M,J Neural Transm (Vienna),2023,Clinical benefit of MAO-B and COMT inhibition in Parkinson's disease: practical considerations.,"Comparative pharmacology of MAO-B inhibitors (safinamide, selegiline, rasagiline)",False
37059819,10.1038/s41598-023-32854-4,Bashore FM,Sci Rep,2023,Modulation of tau tubulin kinases (TTBK1 and TTBK2) impacts ciliogenesis.,Bashore 2023 Sci Rep 13:6118 - TTBK1/TTBK2 modulation impacts ciliogenesis (anti-target TTBK2 biology + selectivity liability),True
37571391,10.3390/nu15153454,Grabska-Koby&#x142;ecka I,Nutrients,2023,Polyphenols and Their Impact on the Prevention of Neurodegenerative Diseases and Development.,Flavonoid scaffolds as MAO-B inhibitors - structure-activity relationships,False
38677657,10.1016/j.nbd.2024.106516,Ko VI,Neurobiol Dis,2024,CK1&#x3b4;/&#x3b5; kinases regulate TDP-43 phosphorylation and are therapeutic targets for ALS-related TDP-43 hyperphosphorylation.,TTBK1 kinase activity linked to TDP-43 proteinopathy in motor neuron disease models,False
39065802,10.3390/ph17070952,Ahamad S,Pharmaceuticals (Basel),2024,Computational Design of Novel Tau-Tubulin Kinase 1 Inhibitors for Neurodegenerative Diseases.,Ahamad 2024 Pharmaceuticals 17:952 - computational design of novel TTBK1 inhibitors for neurodegenerative disease (directly on-target),True
40340943,10.1186/s13024-025-00839-8,Kellett EA,Mol Neurodegener,2025,Molecular mechanisms and consequences of TDP-43 phosphorylation in neurodegeneration.,TTBK1 involvement in TDP-43 pathology relevant to ALS/FTD spectrum,False
